Hour,Load [W],Flow Rate [m3/s]
186,-0.01,0.000303
187,-0.01,0.000303
188,-0.01,0.000303
189,-0.01,0.000303
190,-0.01,0.000303
191,-0.01,0.000303
192,-18.23,0.000303
193,-56.18,0.000303
194,-77.65,0.000303
195,-76.41,0.000303
196,-49.97,0.000303
197,-0.01,0.000303
198,-0.01,0.000303
199,-0.01,0.000303
200,-0.01,0.000303
201,-0.01,0.000303
202,-0.01,0.000303
203,-0.01,0.000303
204,-0.01,0.000303
205,-0.01,0.000303
206,-0.01,0.000303
207,-0.01,0.000303
208,-0.01,0.000303
209,-0.01,0.000303
210,-55.9,0.000303
211,-89.66,0.000303
212,-98.97,0.000303
213,-85.5,0.000303
214,-54.56,0.000303
215,-14.14,0.000303
216,-0.01,0.000303
217,-0.01,0.000303
218,-0.01,0.000303
219,-0.01,0.000303
220,-0.01,0.000303
221,-0.01,0.000303
222,-53.09,0.000303
223,-107.18,0.000303
224,-152.46,0.000303
225,-180.35,0.000303
226,-185.14,0.000303
227,-165.42,0.000303
228,-124.73,0.000303
229,-71.47,0.000303
230,-18,0.000303
231,-0.01,0.000303
232,-0.01,0.000303
233,-0.01,0.000303
234,-79.32,0.000303
235,-207.04,0.000303
236,-375.22,0.000303
237,-567.74,0.000303
238,-761.24,0.000303
239,-927.43,0.000303
240,-1036.14,0.000303
241,-1059.07,0.000303
242,-973.74,0.000303
243,-767.07,0.000303
244,-438.19,0.000303
245,-0.01,0.000303
246,-0.01,0.000303
247,-0.01,0.000303
248,-0.01,0.000303
249,-0.01,0.000303
250,-0.01,0.000303
251,-0.01,0.000303
252,-0.01,0.000303
253,-0.01,0.000303
254,-0.01,0.000303
255,-0.01,0.000303
256,-0.01,0.000303
257,-0.01,0.000303
258,-913.12,0.000303
259,-1799.43,0.000303
260,-2587.52,0.000303
261,-3212.39,0.000303
262,-3621.35,0.000303
263,-3778.76,0.000303
264,-3669.24,0.000303
265,-3298.92,0.000303
266,-2694.82,0.000303
267,-1902.32,0.000303
268,-981.11,0.000303
269,-0.01,0.000303
270,-0.01,0.000303
271,-0.01,0.000303
272,-0.01,0.000303
273,-0.01,0.000303
274,-0.01,0.000303
275,-0.01,0.000303
276,-0.01,0.000303
277,-0.01,0.000303
278,-0.01,0.000303
279,-0.01,0.000303
280,-0.01,0.000303
281,-0.01,0.000303
282,-848.4,0.000303
283,-1625.89,0.000303
284,-2284.26,0.000303
285,-2783.61,0.000303
286,-3094.28,0.000303
287,-3198.13,0.000303
288,-3089.38,0.000303
289,-2774.76,0.000303
290,-2273.31,0.000303
291,-1615.42,0.000303
292,-841.51,0.000303
293,-0.01,0.000303
294,-0.01,0.000303
295,-0.01,0.000303
296,-0.01,0.000303
297,-0.01,0.000303
298,-0.01,0.000303
299,-0.01,0.000303
300,-0.01,0.000303
301,-0.01,0.000303
302,-0.01,0.000303
303,-0.01,0.000303
304,-0.01,0.000303
305,-0.01,0.000303
306,-944,0.000303
307,-1825.58,0.000303
308,-2579.23,0.000303
309,-3148.88,0.000303
310,-3492.74,0.000303
311,-3586.97,0.000303
312,-3427.83,0.000303
313,-3032.02,0.000303
314,-2435.14,0.000303
315,-1688.47,0.000303
316,-854.25,0.000303
317,-0.01,0.000303
318,-0.01,0.000303
319,-0.01,0.000303
320,-0.01,0.000303
321,-0.01,0.000303
322,-0.01,0.000303
323,-0.01,0.000303
324,-0.01,0.000303
325,-0.01,0.000303
326,-0.01,0.000303
327,-0.01,0.000303
328,-0.01,0.000303
329,-0.01,0.000303
330,-389.39,0.000303
331,-677.98,0.000303
332,-855.53,0.000303
333,-924.24,0.000303
334,-897.2,0.000303
335,-795.66,0.000303
336,-645.69,0.000303
337,-474.6,0.000303
338,-307.58,0.000303
339,-164.98,0.000303
340,-60.42,0.000303
341,-0.01,0.000303
342,-0.01,0.000303
343,-0.85,0.000303
344,-43.28,0.000303
345,-96.3,0.000303
346,-146.59,0.000303
347,-183.12,0.000303
348,-198.54,0.000303
349,-190.03,0.000303
350,-159.26,0.000303
351,-111.74,0.000303
352,-55.6,0.000303
353,-0.01,0.000303
354,-0.01,0.000303
355,-0.01,0.000303
356,-0.01,0.000303
357,-0.01,0.000303
358,-0.01,0.000303
359,-0.01,0.000303
360,-14.58,0.000303
361,-44.92,0.000303
362,-62.06,0.000303
363,-61.05,0.000303
364,-39.91,0.000303
365,-0.01,0.000303
366,-0.01,0.000303
367,-0.01,0.000303
368,-0.01,0.000303
369,-0.01,0.000303
370,-0.01,0.000303
371,-0.01,0.000303
372,-0.01,0.000303
373,-0.01,0.000303
374,-0.01,0.000303
375,-0.01,0.000303
376,-0.01,0.000303
377,-0.01,0.000303
378,-44.43,0.000303
379,-71.24,0.000303
380,-78.61,0.000303
381,-67.89,0.000303
382,-43.31,0.000303
383,-11.22,0.000303
384,-0.01,0.000303
385,-0.01,0.000303
386,-0.01,0.000303
387,-0.01,0.000303
388,-0.01,0.000303
389,-0.01,0.000303
390,-42.02,0.000303
391,-84.79,0.000303
392,-120.57,0.000303
393,-142.57,0.000303
394,-146.31,0.000303
395,-130.68,0.000303
396,-98.5,0.000303
397,-56.42,0.000303
398,-14.21,0.000303
399,-0.01,0.000303
400,-0.01,0.000303
401,-0.01,0.000303
402,-62.5,0.000303
403,-163.06,0.000303
404,-295.41,0.000303
405,-446.8,0.000303
406,-598.85,0.000303
407,-729.31,0.000303
408,-814.48,0.000303
409,-832.18,0.000303
410,-764.84,0.000303
411,-602.28,0.000303
412,-343.92,0.000303
413,-0.01,0.000303
414,-0.01,0.000303
415,-0.01,0.000303
416,-0.01,0.000303
417,-0.01,0.000303
418,-0.01,0.000303
419,-0.01,0.000303
420,-0.01,0.000303
421,-0.01,0.000303
422,-0.01,0.000303
423,-0.01,0.000303
424,-0.01,0.000303
425,-0.01,0.000303
426,-712.68,0.000303
427,-1403.87,0.000303
428,-2017.9,0.000303
429,-2504.18,0.000303
430,-2821.82,0.000303
431,-2943.27,0.000303
432,-2856.78,0.000303
433,-2567.4,0.000303
434,-2096.38,0.000303
435,-1479.26,0.000303
436,-762.6,0.000303
437,-0.01,0.000303
438,-0.01,0.000303
439,-0.01,0.000303
440,-0.01,0.000303
441,-0.01,0.000303
442,-0.01,0.000303
443,-0.01,0.000303
444,-0.01,0.000303
445,-0.01,0.000303
446,-0.01,0.000303
447,-0.01,0.000303
448,-0.01,0.000303
449,-0.01,0.000303
450,-655.51,0.000303
451,-1255.68,0.000303
452,-1763.36,0.000303
453,-2147.9,0.000303
454,-2386.56,0.000303
455,-2465.57,0.000303
456,-2380.66,0.000303
457,-2137.27,0.000303
458,-1750.24,0.000303
459,-1243.17,0.000303
460,-647.3,0.000303
461,-0.01,0.000303
462,-0.01,0.000303
463,-0.01,0.000303
464,-0.01,0.000303
465,-0.01,0.000303
466,-0.01,0.000303
467,-0.01,0.000303
468,-0.01,0.000303
469,-0.01,0.000303
470,-0.01,0.000303
471,-0.01,0.000303
472,-0.01,0.000303
473,-0.01,0.000303
474,-721.47,0.000303
475,-1394.57,0.000303
476,-1969.35,0.000303
477,-2403.16,0.000303
478,-2664.31,0.000303
479,-2734.88,0.000303
480,-2612.3,0.000303
481,-2309.54,0.000303
482,-1853.99,0.000303
483,-1284.89,0.000303
484,-649.75,0.000303
485,-0.01,0.000303
486,-0.01,0.000303
487,-0.01,0.000303
488,-0.01,0.000303
489,-0.01,0.000303
490,-0.01,0.000303
491,-0.01,0.000303
492,-0.01,0.000303
493,-0.01,0.000303
494,-0.01,0.000303
495,-0.01,0.000303
496,-0.01,0.000303
497,-0.01,0.000303
498,-294.11,0.000303
499,-511.83,0.000303
500,-645.53,0.000303
501,-697.02,0.000303
502,-676.28,0.000303
503,-599.43,0.000303
504,-486.19,0.000303
505,-357.18,0.000303
506,-231.36,0.000303
507,-124.03,0.000303
508,-45.4,0.000303
509,-0.01,0.000303
510,-0.01,0.000303
511,-0.64,0.000303
512,-32.45,0.000303
513,-72.17,0.000303
514,-109.8,0.000303
515,-137.08,0.000303
516,-148.55,0.000303
517,-142.1,0.000303
518,-119.03,0.000303
519,-83.47,0.000303
520,-41.51,0.000303
521,-0.01,0.000303
522,-0.01,0.000303
523,-0.01,0.000303
524,-0.01,0.000303
525,-0.01,0.000303
526,-0.01,0.000303
527,-0.01,0.000303
528,-10.84,0.000303
529,-33.37,0.000303
530,-46.08,0.000303
531,-45.3,0.000303
532,-29.6,0.000303
533,-0.01,0.000303
534,-0.01,0.000303
535,-0.01,0.000303
536,-0.01,0.000303
537,-0.01,0.000303
538,-0.01,0.000303
539,-0.01,0.000303
540,-0.01,0.000303
541,-0.01,0.000303
542,-0.01,0.000303
543,-0.01,0.000303
544,-0.01,0.000303
545,-0.01,0.000303
546,-32.68,0.000303
547,-52.36,0.000303
548,-57.74,0.000303
549,-49.84,0.000303
550,-31.77,0.000303
551,-8.23,0.000303
552,-0.01,0.000303
553,-0.01,0.000303
554,-0.01,0.000303
555,-0.01,0.000303
556,-0.01,0.000303
557,-0.01,0.000303
558,-30.68,0.000303
559,-61.86,0.000303
560,-87.91,0.000303
561,-103.88,0.000303
562,-106.53,0.000303
563,-95.09,0.000303
564,-71.63,0.000303
565,-41,0.000303
566,-10.32,0.000303
567,-0.01,0.000303
568,-0.01,0.000303
569,-0.01,0.000303
570,-45.27,0.000303
571,-118.03,0.000303
572,-213.69,0.000303
573,-322.98,0.000303
574,-432.6,0.000303
575,-526.48,0.000303
576,-587.57,0.000303
577,-599.93,0.000303
578,-551.01,0.000303
579,-433.6,0.000303
580,-247.43,0.000303
581,-0.01,0.000303
582,-0.01,0.000303
583,-0.01,0.000303
584,-0.01,0.000303
585,-0.01,0.000303
586,-0.01,0.000303
587,-0.01,0.000303
588,-0.01,0.000303
589,-0.01,0.000303
590,-0.01,0.000303
591,-0.01,0.000303
592,-0.01,0.000303
593,-0.01,0.000303
594,-507.65,0.000303
595,-999.26,0.000303
596,-1435.26,0.000303
597,-1779.82,0.000303
598,-2004.09,0.000303
599,-2088.79,0.000303
600,-2025.89,0.000303
601,-1819.31,0.000303
602,-1484.42,0.000303
603,-1046.65,0.000303
604,-539.17,0.000303
605,-0.01,0.000303
606,-0.01,0.000303
607,-0.01,0.000303
608,-0.01,0.000303
609,-0.01,0.000303
610,-0.01,0.000303
611,-0.01,0.000303
612,-0.01,0.000303
613,-0.01,0.000303
614,-0.01,0.000303
615,-0.01,0.000303
616,-0.01,0.000303
617,-0.01,0.000303
618,-458.39,0.000303
619,-877.36,0.000303
620,-1231.09,0.000303
621,-1498.33,0.000303
622,-1663.44,0.000303
623,-1717.1,0.000303
624,-1656.59,0.000303
625,-1485.99,0.000303
626,-1215.88,0.000303
627,-862.9,0.000303
628,-448.92,0.000303
629,-0.01,0.000303
630,-0.01,0.000303
631,-0.01,0.000303
632,-0.01,0.000303
633,-0.01,0.000303
634,-0.01,0.000303
635,-0.01,0.000303
636,-0.01,0.000303
637,-0.01,0.000303
638,-0.01,0.000303
639,-0.01,0.000303
640,-0.01,0.000303
641,-0.01,0.000303
642,-494.28,0.000303
643,-954.56,0.000303
644,-1346.77,0.000303
645,-1641.93,0.000303
646,-1818.7,0.000303
647,-1865.16,0.000303
648,-1779.91,0.000303
649,-1572.16,0.000303
650,-1260.88,0.000303
651,-873.03,0.000303
652,-441.06,0.000303
653,-0.01,0.000303
654,-0.01,0.000303
655,-0.01,0.000303
656,-0.01,0.000303
657,-0.01,0.000303
658,-0.01,0.000303
659,-0.01,0.000303
660,-0.01,0.000303
661,-0.01,0.000303
662,-0.01,0.000303
663,-0.01,0.000303
664,-0.01,0.000303
665,-0.01,0.000303
666,-196.94,0.000303
667,-342.38,0.000303
668,-431.37,0.000303
669,-465.3,0.000303
670,-450.99,0.000303
671,-399.33,0.000303
672,-323.56,0.000303
673,-237.46,0.000303
674,-153.65,0.000303
675,-82.29,0.000303
676,-30.09,0.000303
677,-0.01,0.000303
678,-0.01,0.000303
679,-0.43,0.000303
680,-21.42,0.000303
681,-47.57,0.000303
682,-72.3,0.000303
683,-90.16,0.000303
684,-97.6,0.000303
685,-93.26,0.000303
686,-78.03,0.000303
687,-54.66,0.000303
688,-27.16,0.000303
689,-0.01,0.000303
690,-0.01,0.000303
691,-0.01,0.000303
692,-0.01,0.000303
693,-0.01,0.000303
694,-0.01,0.000303
695,-0.01,0.000303
696,-7.03,0.000303
697,-21.6,0.000303
698,-29.79,0.000303
699,-29.26,0.000303
700,-19.09,0.000303
701,-0.01,0.000303
702,-0.01,0.000303
703,-0.01,0.000303
704,-0.01,0.000303
705,-0.01,0.000303
706,-0.01,0.000303
707,-0.01,0.000303
708,-0.01,0.000303
709,-0.01,0.000303
710,-0.01,0.000303
711,-0.01,0.000303
712,-0.01,0.000303
713,-0.01,0.000303
714,-20.71,0.000303
715,-33.15,0.000303
716,-36.5,0.000303
717,-31.47,0.000303
718,-20.03,0.000303
719,-5.18,0.000303
720,-0.01,0.000303
721,-0.01,0.000303
722,-0.01,0.000303
723,-0.01,0.000303
724,-0.01,0.000303
725,-0.01,0.000303
726,-19.13,0.000303
727,-38.53,0.000303
728,-54.67,0.000303
729,-64.51,0.000303
730,-66.07,0.000303
731,-58.89,0.000303
732,-44.29,0.000303
733,-25.32,0.000303
734,-6.37,0.000303
735,-0.01,0.000303
736,-0.01,0.000303
737,-0.01,0.000303
738,-27.75,0.000303
739,-72.24,0.000303
740,-130.58,0.000303
741,-197.07,0.000303
742,-263.56,0.000303
743,-320.26,0.000303
744,-356.87,0.000303
745,-363.81,0.000303
746,-333.62,0.000303
747,-262.12,0.000303
748,-149.34,0.000303
749,-0.01,0.000303
750,-0.01,0.000303
751,-0.01,0.000303
752,-0.01,0.000303
753,-0.01,0.000303
754,-0.01,0.000303
755,-0.01,0.000303
756,-0.01,0.000303
757,-0.01,0.000303
758,-0.01,0.000303
759,-0.01,0.000303
760,-0.01,0.000303
761,-0.01,0.000303
762,-299.35,0.000303
763,-588.2,0.000303
764,-843.36,0.000303
765,-1043.98,0.000303
766,-1173.43,0.000303
767,-1220.83,0.000303
768,-1181.94,0.000303
769,-1059.49,0.000303
770,-862.88,0.000303
771,-607.29,0.000303
772,-312.26,0.000303
773,-0.01,0.000303
774,-0.01,0.000303
775,-0.01,0.000303
776,-0.01,0.000303
777,-0.01,0.000303
778,-0.01,0.000303
779,-0.01,0.000303
780,-0.01,0.000303
781,-0.01,0.000303
782,-0.01,0.000303
783,-0.01,0.000303
784,-0.01,0.000303
785,-0.01,0.000303
786,-258.31,0.000303
787,-493.39,0.000303
788,-690.88,0.000303
789,-839.09,0.000303
790,-929.6,0.000303
791,-957.55,0.000303
792,-921.84,0.000303
793,-825.12,0.000303
794,-673.68,0.000303
795,-477.06,0.000303
796,-247.65,0.000303
797,-0.01,0.000303
798,-0.01,0.000303
799,-0.01,0.000303
800,-0.01,0.000303
801,-0.01,0.000303
802,-0.01,0.000303
803,-0.01,0.000303
804,-0.01,0.000303
805,-0.01,0.000303
806,-0.01,0.000303
807,-0.01,0.000303
808,-0.01,0.000303
809,-0.01,0.000303
810,-263.91,0.000303
811,-508.4,0.000303
812,-715.5,0.000303
813,-870.12,0.000303
814,-961.36,0.000303
815,-983.4,0.000303
816,-936.04,0.000303
817,-824.65,0.000303
818,-659.64,0.000303
819,-455.53,0.000303
820,-229.53,0.000303
821,-0.01,0.000303
822,-0.01,0.000303
823,-0.01,0.000303
824,-0.01,0.000303
825,-0.01,0.000303
826,-0.01,0.000303
827,-0.01,0.000303
828,-0.01,0.000303
829,-0.01,0.000303
830,-0.01,0.000303
831,-0.01,0.000303
832,-0.01,0.000303
833,-0.01,0.000303
834,-98.5,0.000303
835,-170.71,0.000303
836,-214.43,0.000303
837,-230.58,0.000303
838,-222.8,0.000303
839,-196.66,0.000303
840,-158.84,0.000303
841,-116.2,0.000303
842,-74.95,0.000303
843,-40.01,0.000303
844,-14.59,0.000303
845,-0.01,0.000303
846,-0.01,0.000303
847,-0.21,0.000303
848,-10.25,0.000303
849,-22.67,0.000303
850,-34.33,0.000303
851,-42.66,0.000303
852,-46.02,0.000303
853,-43.81,0.000303
854,-36.53,0.000303
855,-25.49,0.000303
856,-12.62,0.000303
857,-0.01,0.000303
858,-0.01,0.000303
859,-0.01,0.000303
860,-0.01,0.000303
861,-0.01,0.000303
862,-0.01,0.000303
863,-0.01,0.000303
864,-3.17,0.000303
865,-9.7,0.000303
866,-13.32,0.000303
867,-13.02,0.000303
868,-8.47,0.000303
869,-0.01,0.000303
870,-0.01,0.000303
871,-0.01,0.000303
872,-0.01,0.000303
873,-0.01,0.000303
874,-0.01,0.000303
875,-0.01,0.000303
876,-0.01,0.000303
877,-0.01,0.000303
878,-0.01,0.000303
879,-0.01,0.000303
880,-0.01,0.000303
881,-0.01,0.000303
882,-8.62,0.000303
883,-13.72,0.000303
884,-15.03,0.000303
885,-12.89,0.000303
886,-8.17,0.000303
887,-2.11,0.000303
888,-0.01,0.000303
889,-0.01,0.000303
890,-0.01,0.000303
891,-0.01,0.000303
892,-0.01,0.000303
893,-0.01,0.000303
894,-7.47,0.000303
895,-14.95,0.000303
896,-21.08,0.000303
897,-24.73,0.000303
898,-25.18,0.000303
899,-22.31,0.000303
900,-16.68,0.000303
901,-9.48,0.000303
902,-2.37,0.000303
903,-0.01,0.000303
904,-0.01,0.000303
905,-0.01,0.000303
906,-10.05,0.000303
907,-25.98,0.000303
908,-46.64,0.000303
909,-69.9,0.000303
910,-92.82,0.000303
911,-111.98,0.000303
912,-123.87,0.000303
913,-125.34,0.000303
914,-114.08,0.000303
915,-88.95,0.000303
916,-50.29,0.000303
917,-0.01,0.000303
918,-0.01,0.000303
919,-0.01,0.000303
920,-0.01,0.000303
921,-0.01,0.000303
922,-0.01,0.000303
923,-0.01,0.000303
924,-0.01,0.000303
925,-0.01,0.000303
926,-0.01,0.000303
927,-0.01,0.000303
928,-0.01,0.000303
929,-0.01,0.000303
930,-89.11,0.000303
931,-173.35,0.000303
932,-246.02,0.000303
933,-301.4,0.000303
934,-335.21,0.000303
935,-345.01,0.000303
936,-330.36,0.000303
937,-292.83,0.000303
938,-235.78,0.000303
939,-164.02,0.000303
940,-83.34,0.000303
941,-0.01,0.000303
942,-0.01,0.000303
943,-0.01,0.000303
944,-0.01,0.000303
945,-0.01,0.000303
946,-0.01,0.000303
947,-0.01,0.000303
948,-0.01,0.000303
949,-0.01,0.000303
950,-0.01,0.000303
951,-0.01,0.000303
952,-0.01,0.000303
953,-0.01,0.000303
954,-56.57,0.000303
955,-106.24,0.000303
956,-146.21,0.000303
957,-174.44,0.000303
958,-189.76,0.000303
959,-191.83,0.000303
960,-181.14,0.000303
961,-158.94,0.000303
962,-127.13,0.000303
963,-88.15,0.000303
964,-44.77,0.000303
965,-0.01,0.000303
966,-0.01,0.000303
967,-0.01,0.000303
968,-0.01,0.000303
969,-0.01,0.000303
970,-0.01,0.000303
971,-0.01,0.000303
972,-0.01,0.000303
973,-0.01,0.000303
974,-0.01,0.000303
975,-0.01,0.000303
976,-0.01,0.000303
977,-0.01,0.000303
978,-31.83,0.000303
979,-58.96,0.000303
980,-79.62,0.000303
981,-92.7,0.000303
982,-97.82,0.000303
983,-95.3,0.000303
984,-86.13,0.000303
985,-71.81,0.000303
986,-54.15,0.000303
987,-35.09,0.000303
988,-16.52,0.000303
989,-0.01,0.000303
990,-0.01,0.000303
991,-0.01,0.000303
992,-0.01,0.000303
993,-0.01,0.000303
994,-0.01,0.000303
995,-0.01,0.000303
996,-0.01,0.000303
997,-0.01,0.000303
998,-0.01,0.000303
999,-0.01,0.000303
1000,-0.01,0.000303
1001,0.01,0.000303
1002,0.6,0.000303
1003,2.07,0.000303
1004,3.91,0.000303
1005,5.64,0.000303
1006,6.85,0.000303
1007,7.3,0.000303
1008,6.92,0.000303
1009,5.83,0.000303
1010,4.26,0.000303
1011,2.54,0.000303
1012,1.03,0.000303
1013,0.01,0.000303
1014,0.01,0.000303
1015,0.03,0.000303
1016,1.01,0.000303
1017,2.4,0.000303
1018,3.88,0.000303
1019,5.13,0.000303
1020,5.88,0.000303
1021,5.93,0.000303
1022,5.23,0.000303
1023,3.85,0.000303
1024,2.01,0.000303
1025,0.01,0.000303
1026,0.01,0.000303
1027,0.01,0.000303
1028,0.01,0.000303
1029,0.01,0.000303
1030,0.01,0.000303
1031,0.01,0.000303
1032,0.73,0.000303
1033,2.29,0.000303
1034,3.26,0.000303
1035,3.31,0.000303
1036,2.24,0.000303
1037,0.01,0.000303
1038,0.01,0.000303
1039,0.01,0.000303
1040,0.01,0.000303
1041,0.01,0.000303
1042,0.01,0.000303
1043,0.01,0.000303
1044,0.01,0.000303
1045,0.01,0.000303
1046,0.01,0.000303
1047,0.01,0.000303
1048,0.01,0.000303
1049,0.01,0.000303
1050,3.56,0.000303
1051,5.82,0.000303
1052,6.56,0.000303
1053,5.79,0.000303
1054,3.77,0.000303
1055,1,0.000303
1056,0.01,0.000303
1057,0.01,0.000303
1058,0.01,0.000303
1059,0.01,0.000303
1060,0.01,0.000303
1061,0.01,0.000303
1062,4.26,0.000303
1063,8.75,0.000303
1064,12.66,0.000303
1065,15.23,0.000303
1066,15.9,0.000303
1067,14.44,0.000303
1068,11.07,0.000303
1069,6.45,0.000303
1070,1.66,0.000303
1071,0.01,0.000303
1072,0.01,0.000303
1073,0.01,0.000303
1074,7.73,0.000303
1075,20.46,0.000303
1076,37.62,0.000303
1077,57.75,0.000303
1078,78.55,0.000303
1079,97.05,0.000303
1080,109.96,0.000303
1081,113.95,0.000303
1082,106.22,0.000303
1083,84.81,0.000303
1084,49.11,0.000303
1085,0.01,0.000303
1086,0.01,0.000303
1087,0.01,0.000303
1088,0.01,0.000303
1089,0.01,0.000303
1090,0.01,0.000303
1091,0.01,0.000303
1092,0.01,0.000303
1093,0.01,0.000303
1094,0.01,0.000303
1095,0.01,0.000303
1096,0.01,0.000303
1097,0.01,0.000303
1098,121.72,0.000303
1099,242.64,0.000303
1100,352.92,0.000303
1101,443.14,0.000303
1102,505.2,0.000303
1103,533.06,0.000303
1104,523.36,0.000303
1105,475.73,0.000303
1106,392.86,0.000303
1107,280.33,0.000303
1108,146.14,0.000303
1109,0.01,0.000303
1110,0.01,0.000303
1111,0.01,0.000303
1112,0.01,0.000303
1113,0.01,0.000303
1114,0.01,0.000303
1115,0.01,0.000303
1116,0.01,0.000303
1117,0.01,0.000303
1118,0.01,0.000303
1119,0.01,0.000303
1120,0.01,0.000303
1121,0.01,0.000303
1122,145.56,0.000303
1123,281.62,0.000303
1124,399.42,0.000303
1125,491.35,0.000303
1126,551.32,0.000303
1127,575.15,0.000303
1128,560.75,0.000303
1129,508.29,0.000303
1130,420.25,0.000303
1131,301.35,0.000303
1132,158.41,0.000303
1133,0.01,0.000303
1134,0.01,0.000303
1135,0.01,0.000303
1136,0.01,0.000303
1137,0.01,0.000303
1138,0.01,0.000303
1139,0.01,0.000303
1140,0.01,0.000303
1141,0.01,0.000303
1142,0.01,0.000303
1143,0.01,0.000303
1144,0.01,0.000303
1145,0.01,0.000303
1146,200.47,0.000303
1147,390.89,0.000303
1148,556.8,0.000303
1149,685.34,0.000303
1150,766.38,0.000303
1151,793.43,0.000303
1152,764.35,0.000303
1153,681.51,0.000303
